Claim Description,Coverage Code,Accident Source,topic,probability,topic_name
INSURED VEHICLE HIT LOW ELECTRIC BOLLARD CAUSING DAMAGE TO BOLLARD,AD,Hit Post/Barrier/Gate/Pole,5,1.0,Third Party Reversing
"ATTORNEY: CHRISTOPHER M BROWN, 954-764-6828, CLAIMANT: JAN & CINDYVELEN, IVY RECEIVED A LETTER OF INTENT REGARDING THE CLAIMANTS    SEWER DAMAGE AND BACKUP THAT OCCURRED 12/27/2021 WHICH ALSO WAS A SEDGWICK TENDER. THE CLAIMANT STATED THAT ON 12/27/2021, WHEN THEYRETURNED HOME FOUND WATER AND SEWAGE HAD OVERFLOWED ONTO THE      FLOORS FROM THE SHOWERS AND TOILETS IN BOTH BATHROOMS. THE DAMAGESARE TO THE SHOWER AND SHOWER DOOR, BUT, TILE, GROUT, FLOOR AND    BASEBOARDS. THEY STATE THEY",GB,Back up of sewer,3,0.5589902225372687,Small Property Damage
"THE CLAIMANT WAS CROSSING THE STREET TO ENTER THE PARKING LOT,    WHEN HE WAS STRUCK BY A VEHICLE. THE CLAIMANT WAS TRANSPORTED TO  THE HOSPITAL VIA AMBULANCE.",GB,Vehicle - truck/snowplow,-1,0.0,Miscellaneous / Noise
"GUEST WAS WALKING THROUGH THE PARKING LOT, FROM HER CAR TO THE    FRONT DOOR, TO DINE IN OUR RESTAURANT AND SHE FELL.  THE GUEST    FELL ON HER BOTTOM/BACK AND HIT THE BOTTOM OF HER HEAD ON THE     GROUND BUT NOT HARD ENOUGH TO CAUSE A CONCUSSION OR INJURY.       PARKING LOT WAS ICY AND SNOWPACKED AT THE TIME OF THE FALL",GB,"Ice, Snow, Sleet - Property",0,1.0,Rear-End Collision (IV hits OV)
"INSAT1001451: TSP VEHICLE STRUCK OCCUPIED CLAIMANT VEHICLE ON THE PASSENGER SIDE.  CLAIMANT DRIVER - CESAR ABREU-GOMEZ, CLAIMANT PASSENGER 1 - ARIEL TORRES, CLAIMANT PASSENGER 2 - INHIRA ROSANO.  BOTH CLAIMANT PASSENGERS COMPLAINING OF INJURIES.  UNKNOWN IF ANY VEHICLE TOWED, POLICE MV104 AND PHOTOS OF FEDEX UNIT PROVIDED BY INS AGENT.  TSP TRACTOR #162050",AB,Vehicle Accident,7,0.9468005340958202,Food Poisoning / Restaurant Injury
WATER DAMAGE,RB,Water,3,0.8517553663191862,Small Property Damage
"THE IV1 REAR ENDED THE IV2. THE IV1 INCURRED FRONT BUMPER DAMAGE  WHILE THE IV2 HAD METAL STEP DENT, NO INJURIES WERE REPORTED.",AD,Our vehicle backed into,1,0.9914033025152788,Slip / Trip / Fall
THE PROPERTY DAMAGED RESULTED FROM A WINDSTORM WITH TORNADIC ACTIVITY CONFIRMED IN SURROUNDING AREAS. DAMAGE TO TWO HVAC UNITS- DISP,RB,Tornado,3,0.4242370837779067,Small Property Damage
BODILY INJURY CLAIM - RESET OF AN-02.,AB,Struck vehicle in rear,0,1.0,Rear-End Collision (IV hits OV)
STATIONARY DRIVER WAITING TO TURN NORTH TO REYNOLD ROAD. OUR      DRIVER STRUCK OTHERS SIDE MIRROR WITH TRAILER,AD,Sideswipe or lane change,2,0.8853027938117758,Water Damage / Frozen Pipes
THE IV REAR ENDED THE OV THAT WAS STOPPED AT THE LIGHT. NO        INJURIES. THE OV INCURRED DAMAGE TO THE REAR BUMPER.,AD,Struck vehicle in rear,1,1.0,Slip / Trip / Fall
CLMT REPORT- LANE CHANGE LOSS,AD,Sideswipe or lane change,4,0.7300152664362339,Vehicle Damage While Driving
"MS SMITH REFUSED MEDICAL AID. MR BILL RUSSEL WAS NOTIFIED. FURTHER INVESTIGATION CONTINUING, PENDING A ROOM INSPECTION.  ON 12/18/22",GB,"Animal, Insect",0,1.0,Rear-End Collision (IV hits OV)
CUSTOMER STEPPED BACKWARDS AND TRIPPED OVER THE PLATFORM ON THE   STORE'S ORDER PICKER MACHINE. PREVIOUS INJURY DUE TO TORN ACL THATWAS AGGRAVATED BY TRIPPING OVER THE MACHINE. NO FIRST AID         REQUIRED.,GB,Object on floor,0,1.0,Rear-End Collision (IV hits OV)
GATE CLOSED ON VEHICLE,GD,"Gate, fence",-1,0.0,Miscellaneous / Noise
VEHICLE BACKED INTO THE CLIENT'S BUILDING.,RB,Not Otherwise Classified,5,0.3549983269636584,Third Party Reversing
"DURING CUSTOMERS WASHER DRYER DELIVERY - B AND N DRIVER GUAGED THEBOTTOM OF HER FRONT DOOR - SEE PHOTOS OF DAMAGE.  THEY NOTICED    AFTER THEY ELFT, BUT DID NOT INFORM US UNTIL THIS MORNING. STILL  WITHIN THE 24 HOURS",GD,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
MADELINE WAS TRAVELING WEST ON JEFFERSON ST AND ATTEMPTED TO TURN LEFT ON NORTH WINNEBAGO FROM THE MIDDLE LANE. SHE DID NOT SEE THE OTHER VEHICLE AND COLLIDED WITH THE OTHER VEHICLE,AD,Sideswipe or lane change,2,0.7586657471349488,Water Damage / Frozen Pipes
CUSTOMER WALKED INTO STORE AND CLAIMS FEET WENT OUT FROM UNDER HERDUE TO FLOOR BEING SLICK AND SHE FELL DOWN. SHOES WERE LOW HEELS.,GB,Water,0,1.0,Rear-End Collision (IV hits OV)
ROLLING LARGE REELS OUT OF THE BACK OF THE TRAILER ONTO THE LULL  TO DELIVER PRO 184 1704815.  THE FORKLIFT TINE WAS WEDGED ON THE  BACK OF THE TRAILER. THE UNLOADING CUSTOMER MADE AN ADJUSTMENT ANDTHE TINE CAME FREE SPRUNG UP AND HIT THE INJURED EMPLOYEE ON THE  HEAD AND FACE.,GB,Forklift accessory,2,0.5734819917307217,Water Damage / Frozen Pipes
ELIZABETH PATEL AND MINOR CHILD PATEL MOTHER AND DAUGHTER WERE    CROSSING STREET AT A CROSSWALK WHEN A CAR FAILED TO STOP AT A     STOPSIGN AND STRUCK THEM. POLICE ON SCENE AND BOTH CLAIMANTS TAKENTO HOSPITAL. EXPECTED TO BE OK. FATHER CONTACTS FHGC AND REQUESTEDINSURANCE INFORMATION.,GB,Alleged Negligent Act,7,0.8564008517709867,Food Poisoning / Restaurant Injury
A FIRE OCCURRED ON THE BALCONY OF APARTMENT 402. DAMAGE WAS ISOLATED TO THE EXTERIOR OF THE APARTMENT WITH MINOR DAMAGE TO THE SECON,RB,Fire - Auto,3,0.36092346287015925,Small Property Damage
"CLAIMANT ALLEGES AS HE HE SLIPPED ON THE WET FLOOR, DUE TO WATER  FROM THE DRINK STATION AND INJURED HIS LEFT KNEE.",GB,Alleged improper maintenance - other,0,1.0,Rear-End Collision (IV hits OV)
THE IV WAS STOPPED AT A STOP LIGHT WHEN THE OV REAR ENDED THE IV. THE BACK BUMPER BROKE AND THE TRUNK IS SCRATCHED WITH A RED MARK. THE OV HOOD IS CRUSHED AND NOT ABLE TO DRIVE FORWARD. NO INJURIES REPORTED.,AP,Our vehicle struck in rear,1,1.0,Slip / Trip / Fall
"CUSTOMER STATES THAT SHE JUST FELL, DID NOT SLIP OR TRIP ON       ANYTHING ON GROUND",GB,"Human Action, NOC",0,1.0,Rear-End Collision (IV hits OV)
"CLAIMANT ALLEGES AS HE WAS DRINKING HIS COFFEE THE LID CAME OFF.  NO INJURIES ARE BEING REPORTED. CLAIMANT BELIEVES THERE WAS A     MALFUNCTION TO THE CUP, BECAUSE HE WAS NOT ABLE TO PUT THE LID    BACK ON.",PA,Not Otherwise Classified,15,1.0,Rear-End Collision (Client hits others)
ROCK FROM ROAD - NO ONE AT FAULT,AP,Windshield,10,0.7177407574606088,Delivery / Door/Window Damage
"TSP DRIVER WAS ON 10 W/B, CLAIMANT WAS IN THE RIGHT LANE AND TRIED TO PASS THE TRACTOR. THEY HIT THE FRONT PASSENGER SIDE BUMPER. NO INJURIES, NO TOWS, STATE POLICE ON THE SCENE. 23-001365 CLAIMANT IS INJURED TRANSFERRED FROM CLAIM 5523953886",AD,Sideswipe or lane change,7,0.9681072779625693,Food Poisoning / Restaurant Injury
ABSENCE DUE TO KNEE OPERATION,PI,Illness,0,1.0,Rear-End Collision (IV hits OV)
"CUSTOMER AND HIS WIFE BECAME ILL WITH SCOMBROID POISONING AFTER   EATING WILD CAUGHT TUNA LOIN. PRODUCT DISTRIBUTOR IS RED FISH CO  IN FLORIDA. PURCHASED 2/17/23.  ATE 2/17/23 AND 2/18/23. BOTH TO  OVERLOOK HOSPITAL. TUNA SASHIMI LOIN: UPC CODE 2173544015118      SIZE/WEIGHT: 1.26 LB LOT/CODE: 5012159 PRODUCT USED BY DATE:      4/7/24 FDA#/PLANT#: 17130588122 DISTRIBUTOR:PRODUCT DISTRIBUTOR   URL: 6013-1 RED FISH CO 2876 NW 82 AVE DOREL, FLORIDA 33122",PA,Alleged contamination or spoilage,0,1.0,Rear-End Collision (IV hits OV)
SP VEHICLE STRUCK THE CLAIMANT'S BASKETBALL HOOP CAUSING DAMAGE TOIT. NONE HURT. NO TOW. NO POLICE.,AD,Struck animal or object,7,0.7692026593626462,Food Poisoning / Restaurant Injury
SCRATCHES ON CAR FROM THE BUSHES IN THE PARKING LOT,GD,Alleged Negligent Act,12,1.0,Foreign Object in Food
"THIS LETTER IS TO INFORM YOU THAT THE ABOVE REFERENCED CLAIMANTS  HAVE RETAINED MY OFFICE TO REPRESENT THEM FOR INJURIES ARISING OUTA MOTOR VEHICLE COLLISION THAT OCCURRED IN LOS ANGELES COUNTY,    CALIFORNIA ON FEBRUARY 18, 2023 AT APPROXIMATELY 10:35 A.M. PLEASEREFRAIN FROM MY CONTACTING MY CLIENTS, AND DIRECT ALL             COMMUNICATIONS REGARDING THIS CLAIM TO MY OFFICE. BASED ON        INFORMATION PROVIDED BY MY CLIENTS, THEY WERE TRAVELING IN TWO    SEPARATE VEHICLES SOUTHBOUND ON INTERS",AB,Sideswipe or lane change,7,0.8361011214724513,Food Poisoning / Restaurant Injury
CLAIMANT SUFFERED FROM NOISE EXPOSURE .,EL,Noise,0,0.9051536623392555,Rear-End Collision (IV hits OV)
"CLAIMANT, WHILE ATTENDING A RECEPTION, WAS DANCING WITHOUT SHOES AND STEPPED ON GLASS",GB,"Walk, path, sidewalk",0,1.0,Rear-End Collision (IV hits OV)
NO INJURIES V1 HIT V2 SIDESWIPED,AB,Struck parked vehicle,11,1.0,Rock / Windshield Crack
"RECORD ONLY-  ROOF LEAK IN APT#19726 AND APT#19436, NO PERSONAL PROPERTY DAMAGE, REPAIRS COMPLETE",GD,Ice/water,3,0.39992041518551197,Small Property Damage
THERE WAS DAMAGE DONE TO THE KITCHEN CABINET (HOLE),PB,e-Commerce,-1,0.0,Miscellaneous / Noise
MULTIPLE LOSS LOCATION,RB,"Weather, NOC - W.C",-1,0.0,Miscellaneous / Noise
"SMALL PD THE CUSTOMER ALLEGES THAT THE DRIVER OF THE IV WAS       SERVICING THE CUSTOMER AT A COMMERCIAL LOCATION AND IN THE        PROCESS, THE IV MADE CONTACT WITH THE PARKED AND UNOCCUPIED OV    CAUSING SCRATCHES TO THE OV. NO INJURIES REPORTED.",AL,Struck parked vehicle,6,0.38884548124490054,School Bus / Student Accident
IV MERGED INTO CV'S LANE STRIKING CV,AD,Sideswipe or lane change,4,0.6621921908596551,Vehicle Damage While Driving
NO COSTCO SVC HISTORY BROUGHT CAR IN FOR ROTATION PLUGGED IN WHEELLOCK AND IT SNAPPED OFF BEFORE ANY SERVICE CAN BE DONE,GD,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
IV ALLEGEDLY TBONED OV,AM,Sideswipe or lane change,4,1.0,Vehicle Damage While Driving
"THE IV DROVE OUT OF THE ROAD, COLLIDED INTO AN EMBANKMENT AND     OVERTURNED. THE IV INCURRED DAMAGE TO THE P/S AND ROOF. THE IV    PASSENGER SUSTAINED A LOWER BACK INJURY.",AP,"Street, roadway, highway",1,1.0,Slip / Trip / Fall
OPERATOR SIDESWIPED PARKED VEHICLE WHILE PICKING UP PASSENGER,AD,Sideswipe or lane change,2,0.6360754768763386,Water Damage / Frozen Pipes
"LARGE DIAMETER REBAR WALL UNDER CONSTRUCTION COLLAPSED, INJURING 5 SUBCONTRACTOR EMPLOYEES.",GB,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
CLAIMANT ALLEGEDLY FELL WHEN STEPS TO THE GARAGED DETACHED FROM   THE WALL. CONSTRUCTION DEFECT ALLEGATION. TENDER RECEIVED FROM    LENNAR.,GB,Alleged Negligent Act,0,1.0,Rear-End Collision (IV hits OV)
IV STRUCK A DEER CAUSING DAMAGES,AP,Struck animal or object,1,0.7954186385770373,Slip / Trip / Fall
"WHILE SITTING AT A LIGHT , A LARGE CONCRETE TRUCK HIT OUR TRAILER.",AP,Our vehicle struck while parked,2,0.8191924139860315,Water Damage / Frozen Pipes
WATER DAMAGE LEAKING FROM ICEMAKING WATER LINE SINCE FIRST        DELIVERY AND SPOILAGE OF FOODS.,PB,e-Commerce,3,1.0,Small Property Damage
CLAIMANT ALLEGES HE WAS WALKING TOWARDS THE DOOR WHEN HE SLIPPED  AND FELL ON THE MOPPED FLOOR. THE CUSTOMER REPORTED NO INJURIES.,GB,Alleged Negligent Act,0,1.0,Rear-End Collision (IV hits OV)
HE INFORMED ME THAT HE FELL AT THE STEPS OUTSIDE LEADING INTO THE HOTEL.,GB,Not Otherwise Classified,0,1.0,Rear-End Collision (IV hits OV)
AS ANNE WAS ENTERING THE BUILDING SHE HAS HIT HER HEAD ON AN      EXTERNAL BEAM/SUPPORT BAR.,GB,Not Otherwise Classified,0,1.0,Rear-End Collision (IV hits OV)
LADY IN A MOTORIZED CART RAN HER CART INTO THE BACK OF THE LEG-   HURTING HER LOWER RIGHT LEG. MEMBER WHO HIT HER GAVE US HER       INFORMATION: MEMBER DRIVING THE MOTORIZED CART NAME- MARY         MCCORMICK PHONE NUMBER- 4043879964 MEMBERSHIP NUMBER- 111849966003,GB,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
STORE'S RENTAL TRAILER HAS BEEN RENTED AND NOT RETURNED.,RB,Not Otherwise Classified,5,0.2344661816471836,Third Party Reversing
"IV WAS BEING DETAILED WHEN A LARGE SCRATCH, AND SCRAPES WEREFOUND ON THE FRONT D/S HEADLIGHT, FRONT D/S BUMPER, AND FRONT D/S WHEEL WELL . IT IS NOT KNOWN HOW THIS INCIDENT OCCURRED. THERE WERE NO  INJURIES REPORTED.",AP,Sideswipe or lane change,1,1.0,Slip / Trip / Fall
"AT APPROXIMATELY 5:50 I WAS HEADING TOWARDS THE SHOP, I HAD JUST  LEFT THE JOB SITE 15 MINUTES PRIOR, I WAS TRYING TO CHANGE LANES  BUT MY RIGHT MIRROR WAS WOBBLING AROUND AND I COULDN'T SEE IF     THERE WAS CAR COMING, AS SOON AS I LOOKED BACK FORWARD IT WAS A   RED LIGHT AND THE CAR IN FRONT OF ME WAS COMPLETELY STOPPED, I DIDNOT HAVE TIME TO STOP AND TRIED TO SWERVE OUT OF THE WAY BUT HIT  THE RIGHT BACK SIDE OF THE THEIR VEHICLE.",AD,Struck vehicle in rear,2,1.0,Water Damage / Frozen Pipes
GUEST FAINTED OUTSIDE OF DAIRY COOLER.,GB,Health Hazard,0,1.0,Rear-End Collision (IV hits OV)
DURING AN INSPECTION TO ASSESS DAMAGES THE MAINTENANCE SUPERVISOR KAARYN POWELL ALERTED ME (SHAWN HASTINGS ) OF A FLOOD FORM A LEAK,GD,"Freezing of Plumbing, Heating, AC System",3,0.627331459265744,Small Property Damage
"THE EE INSTALLED WALK BOARDS INSIDE THE CUSTOMER'S ATTIC DURING A SERVICE, AND UPON WALKING ON THE BOARDS, A RECESSED LIGHT WAS     PUSHED OUT THE CEILING. THE DRY WALL AROUND THE LIGHT IS NOW      CRACKED AND BROKEN .",GD,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
CLAIMANT HAD POSSIBLE ALLERGIC REACTION TO FOOD.,PA,Food Product,0,1.0,Rear-End Collision (IV hits OV)
"IVD WAS PULLING FORWARD TO BACK INTO A LOADING DOCK AND AS HE     PULLED FORWARD, HIS FRONT D/S HIT THE FRONT P/S BUMPER OF OV THAT WAS PARKED",AD,Struck parked vehicle,13,0.9185230738434361,Two-Vehicle Parked Collision
"DIARREA,NAUSEA,FAINT,SWEATHY",PA,Alleged contamination or spoilage,0,0.9341048651651969,Rear-End Collision (IV hits OV)
"CLAIMANT ALLEGES HE WAS INSIDE THE PLPP STRUCTURE CLIMBING UP AN  UNIDENTIFIED PIECE OF PLAY EQUIPMENT, FELL AND SUSTAINED A        LACERATION TO AN UNSPECIFIED AREA OF HIS FOREHEAD.",GB,Alleged Negligent Act,0,1.0,Rear-End Collision (IV hits OV)
IV EXITING PARKING LOT TO MAKE LEFT HAND TURN AFTER MAKING A      DELIVERY AND STRUCK THE FRONT PASS SIDE FENDER/BUMPER OF THE CV,AB,Our vehicle turning left,-1,0.0,Miscellaneous / Noise
"ESTES DRIVER WAS TRAVELING ON EXIT RAMP WHEN OTHER VEHICLE TRIED  TO PASS IN THE EMERGENCY LANE, REAR PASSENGER TIRE ON TRAILER HIT THE VEHICLE AS IT WAS TRYING TO PASS, CAUSING DAMAGE TO OUTER TIREAND RIM ON TRAILER, MULTIPLE DAMAGE TO THE OTHER VEHICLE",AD,Sideswipe or lane change,2,0.8191924139860315,Water Damage / Frozen Pipes
"WHILE PULLING TRACTOR OUT OF PARKING SPACE, MADE RIGHT TURN AND   REAR OF TRACTOR CLIPPED FRONT BUMPER OF CAR PARKED ADJACENT",AD,Struck parked vehicle,2,0.7931980060309157,Water Damage / Frozen Pipes
OTHER DRIVER LOST CONTROL HIT GUARDRAIL THEN BOUNCED BACK IN TO   TRAFFIC,AD,Sideswipe or lane change,2,0.778906851719466,Water Damage / Frozen Pipes
"ALLEGATIONS OF BEING ASSAULTED, BEATEN AND BATTERED MULTIPLE TIMES",GB,Assault and/or abuse,0,1.0,Rear-End Collision (IV hits OV)
MARY TROHA CLAIMED THAT SHE BIT AND ALMOST CHOKED ON A BARK-LIKE  OBJECT ON A VEGAN CHOCOLATE MOUSSE CAKE THAT SHE BOUGHT IN STORE  ON THE AFTERNOON OF MARCH 24TH.,PA,Alleged foreign object in product,0,1.0,Rear-End Collision (IV hits OV)
"(AWC11 ACIORIORLAL SNEEZE IT NECESSARY) UNIT 1 WITH TOWED UNIT 2  TRAVELING ON IH10 WEST IN THE OUTSIDE LANE APPROACHING A BRIDGE,  UNIT 3 ALSO TRAVELING WEST ON IH10 IN THE INSIDE LANE, UNIT 1 IN  THE LEAD. DRIVER OF UNIT 3 STATED HE OBSERVED UNIT 1 CHANGE LANES AS UNIT 3 WAS PARALLEL WITH TOWED UNIT 2. UNIT 1 DRIVER STATED    UNIT 3 APPEARED TO BE SPEEDING AS HE ATTEMPTED TO CHANGE LANES.   DRIVER OF UNIT 3 ACCELERATED HIS SPEED TO AVOID A CRASH AS HE     APPROACHED A BRIDGE WITH UNIT 1 AND T",AD,Sideswipe or lane change,-1,0.0,Miscellaneous / Noise
THERE WAS A HEAD ON COLLISION INVOLVING THE IV AND OV. THE OV     DRIVER WAS TAKEN TO THE HOSPITAL.,AP,Alleged Negligent Act,1,1.0,Slip / Trip / Fall
V1 REAR ENDED V2,AD,Struck vehicle in rear,11,1.0,Rock / Windshield Crack
THE IV DRIVING WHEN IT SIDESWIPED THE OV. THERE WERE INJURIES     REPORTED. THERE WAS DAMAGE TO THE OV.,AB,Sideswipe or lane change,1,1.0,Slip / Trip / Fall
OV WAS AT THE LIGHTS WHEN IV REAR ENDED OV,AD,Struck vehicle in rear,4,1.0,Vehicle Damage While Driving
CRACKED WINDSHIELD THAT SPIDER CRACKED BOTH DIRECTIONS FROM MIDDLETOP.,GD,Road debris/road hazard,10,1.0,Delivery / Door/Window Damage
OBJECT HIT GLASS,AP,Windshield,0,0.807305019284058,Rear-End Collision (IV hits OV)
:  GUEST TRIPPED AND FELL OVER UMBRELLA STAND SCREWS CAUSING          LACERATION TO LOWER LEFT LEG.,GB,Alleged improper maintenance - other,0,1.0,Rear-End Collision (IV hits OV)
A VEHICLE RAN OFF THE ROAD AND STRUCK A EMPLOYEE'S VEHICLE THAT   WAS PARKED IN THE PARKING LOT.,RB,Not Otherwise Classified,12,1.0,Foreign Object in Food
NO INJURIESVEHICLE 1 WAS EXITING AT ELYSIAN FIELDS. THE VEHICLE   WAS STOPPED WHEN VEHICLE 2 SLAMMED INTO THE REAR OF VEHICLE 1.    THIS ACCIDENT OCCURRED ON 3/9/23.,AP,Our vehicle struck in rear,-1,0.0,Miscellaneous / Noise
PASSENGER FALL DUE TO SUDDEN START OR STOP OF BUS CAUSES INJURIES.BUS REG:   SN67WXD,AB,"Sudden stop or start, injuring occupant",8,1.0,Police / Driveway Incidents
IV WAS TRAVELING ON JACKSON STREET WHEN THE IV STRUCK A MAILBOX   KNOCKING IT OFF THE POST. THERE WERE NO INJURIES REPORTED OR      DAMAGE TO THE IV.,AD,Struck mailbox,1,1.0,Slip / Trip / Fall
OV AND IV INVOVLED IN MVA,AD,Sideswipe or lane change,4,1.0,Vehicle Damage While Driving
"THE CUSTOMER WAS WALKING DOWN AISLE 6 WHEN THE CUSTOMER STEPPED ONA PIECE OF BROKEN CERAMIC CAUSING THE CUSTOMER TO FALL. THE       CUSTOMER SUSTAINED PAIN TO THE RIGHT ANKLE, WRIST, ELBOW, LEFT    WRIST AND LEFT KNEE.",GB,Alleged Negligent Act,0,1.0,Rear-End Collision (IV hits OV)
LOCATION: 646 MATTHEWS NC CLAIMANT JADA MONTGOMERY (980) 425 5152 SLIPPED ON VOMIT,PM,Alleged Negligent Act,3,0.3877931199743584,Small Property Damage
PHV  HIT PARKED TPV,AD,Insured Hit Parked TP,-1,0.0,Miscellaneous / Noise
CLAIMANT DROVE OVER A POTHOLE CAUSING DAMAGE,GD,Pothole,9,0.577689986075307,Pothole / Road Hazard
NO INJURIES BUS 1074 WAS STOPPED AT THE CORNER OF HOLDRIDGE ROAD WAND WAS PREPARING TO TURN LEFT ONTO WAYZATA BLVD E. A CAR WAS     TURNING TIGHT ONTO HOLDRIDGE AND AS THE BUS DRIVER TURNED LEFT THECAR TURNED INTO THE BUS. CONNECTING AT THE DRIVER SIDE DUELS OF   THE BUS AND FRONT DRIVERS CORNER OF THE OTHER VEHICLE.,AD,Sideswipe or lane change,8,1.0,Police / Driveway Incidents
CLAIMANT SUFFERED PROPERTY DAMAGE DUE TO WATER INGRESS.,GD,Leak/Flood - Defective Maintenance,3,0.44792450172589365,Small Property Damage
FUEL CONTAMINATION,GD,Alleged contamination or spoilage,-1,0.0,Miscellaneous / Noise
PARKWAY C-2 SCHOOL DISTRICT - OUR DRIVER RAN OFF THE ROAD AND     SCRAPED A FIRE HYDRANT DAMAGING THE FRONT RIGHT WHEEL SIDE AND    SERVICE DOOR,AP,Struck animal or object,8,0.8117097492252513,Police / Driveway Incidents
MEMBER MOVED CHAIR ON HER CARPET IN HER HOUSE AND IT STAINED THE  CARPET,GD,Alleged damage to property of others,0,0.9883718734396136,Rear-End Collision (IV hits OV)
"THE CALLER REPORTED THAT AN OV MADE A RIGHT TURN ONTO BORDENTOWN  RD FROM NEW FORD MILL RD AND THE OV DRIVER WAS LOOKING AT HIS CELLPHONE, AND STRUCK THE PECO UTILITY POLE ON THEINSURED PROPERTY,   BREAKING THE POLE AND THE TRANSFORMER, PULLING THE POWER LINES    DOWN. THE OV HAD MODERATE TRACTOR AND TRAILER DAMAGE.",RB,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
CLAIMANT DROVE OVER POTHOLE CAUSING VEHICLE DAMAGE.,GD,Pothole,9,0.9741252924494977,Pothole / Road Hazard
"TRIPPED OVER CURB ON ISLAND RIGHT BY PEDESTRIAN SLOW CROSSING     SIGN, HIT HER NOSE ON THE PAVEMENT",GB,Alleged Negligent Act,2,0.8261615533395174,Water Damage / Frozen Pipes
FATALITY WHEN DRIVER FAILED TO YIELD RIGHT OF WAY TO CORRIGAN     DRIVER WHO IS AN OWNER OPERATOR.,AB,Other vehicle turning right,2,0.6717443720372877,Water Damage / Frozen Pipes
REPORT PURPOSES ONLY. LA QUINTA INN & SUITES HILLSBORO LOC #195 CLMT: CAROLYN MEADEN CLAIMS TO HAVE FELL ON THE SIDEWALK   OUTSIDE O,GB,"Walk, path, sidewalk",0,1.0,Rear-End Collision (IV hits OV)
DRIVER SIDE MIRROR COVER RIPPED OFF BREAKING INTO TWO PIECES.     PASSENGER SIDE MIRROR COVER FULL OF SCRATCHES.,GD,Car Wash,-1,0.0,Miscellaneous / Noise
DAMAGE TO 3RD PARTY VEHICLE,AD,Sideswipe or lane change,5,0.5405191973673532,Third Party Reversing
"ON APRIL 7, 2023 AT APPROXIMATELY 7:15 AM, SECURITY WAS ASKED TO SPEAK WITH THE GUEST WHO SLIPPED AND FELL IN THE LOWER LOBBY, FRONT",GB,Ground/floor,0,0.8725877098513349,Rear-End Collision (IV hits OV)
FIRE SPRINKLER LINE FROZE AND BURST IN THE ELEMENTARY BUILDING.,RB,"Freezing of Plumbing, Heating, AC System",3,1.0,Small Property Damage
ALLEGATIONS OF CONSTRUCTION DEFECT,PB,Alleged damage to property of others,-1,0.0,Miscellaneous / Noise
"ON TUESDAY 05/02/2023, I SECURITY PATROL OFFICER DAN EVANS        RECEIVED A CALL AT APPROXIMATELY 12:30 TO GO TO THE 80 INCH HOT   STRIP MILL FOR A DAMAGE REPORT FOR LIME DUST. WHEN I ARRIVED ON   SCENE AT APPROXIMATELY 12:34, THERE WERE FIVE DIFFERENT EMPLOYEES THAT WANTED A REPORT DONE ON THEIR CARS THE EMPLOYEES ARE AS      FOLLOWS.",GD,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
GUEST CLAIMS HE SLIPPED IN ADA WALK IN SHOWER. HE REPORTED TO US  AFTER THE FACT UPON REQUESTING TOWELS.,GB,Alleged improper maintenance - other,0,1.0,Rear-End Collision (IV hits OV)
SP DRIVER BACKING INTO CLAIMANT DRIVEWAY & BACKED INTO & DAMAGED  BASKETBALL HOOP. NO INJ/TOWS/POL,AD,Struck animal or object,7,0.9839034408207011,Food Poisoning / Restaurant Injury
GUEST GIRLFRIEND CALLED AND NEEDED A SODA ON EMERGENCY BECAUSE HER BOYFRIEND (MR. PRESTON) HAD FAINTED DUE TO BEING DIABETIC.,GB,Not Otherwise Classified,0,1.0,Rear-End Collision (IV hits OV)
MEMBER PLUGGED IN THE LASKO HEATER AND SMELLED SMOKE AND THE SMELLOF BURNING.  SHE UNPLUGGED IT IMMEDIATELY,PB,DEFECTIVE PRODUCT,15,1.0,Rear-End Collision (Client hits others)
BACKING ALLEGEDLY STRUCK PEDESTRIAN,AB,"Struck pedestrian, bicycle",-1,0.0,Miscellaneous / Noise
SMALL PD CUSTOMER STATES THAT THE ENCLOSURE WAS DAMAGED OVER TIME DUE TO MANUALLY REMOVING THE CONTAINER IN AND OUT OF THE ENCLOSURE. THERE WERE NO INJURIES REPORTED.,GD,Struck dumpster enclosure,6,0.7865581706199956,School Bus / Student Accident
"SMALL PD IV WAS SERVICING A CAN IN THE FRONT OF THE PARKING       LOT.WHILE ROLLING FORWARD TO PLACE THE CAN DOWN, HE RAN OVER A    CONCRETE WHEEL STOP, CRACKING IT. IV WAS NOT DAMAGED. NO INJURIES WERE REPORTED.",AL,"Parking lot, driveway",6,0.8238223706627129,School Bus / Student Accident
GUEST SLIPPED AND FELL BY THE HOST STAND.  SHE SAID SHE FELL ON   HER RIGHT SIDE AND HURT HER WRIST.  THERE IS NO CAMERA FOOTAGE FORTHIS FALL AND IT WAS RAINING THE DAY SHE FELL.,GB,Alleged Negligent Act,0,1.0,Rear-End Collision (IV hits OV)
